Pin Number,Pin ID,Custom Name,Function,Mode, Direction,Latch,Pull Up,Pull Down,Drive Strength
1,PA00,,Available,,,,,,NORMAL
2,PA01,,Available,,,,,,NORMAL
3,PA02,,Available,,,,,,NORMAL
4,PA03,,Available,,,,,,NORMAL
5,PB04,STARTER_FAULT,GPIO,Digital,In,n/a,No,Yes,NORMAL
6,PB05,,Available,,,,,,NORMAL
9,PB06,,Available,,,,,,NORMAL
10,PB07,,Available,,,,,,NORMAL
11,PB08,,Available,,,,,,NORMAL
12,PB09,,Available,,,,,,NORMAL
13,PA04,HV_DISABLE,GPIO,Digital,Out,Low,,,STRONG
14,PA05,,Available,,,,,,NORMAL
15,PA06,,Available,,,,,,NORMAL
16,PA07,,Available,,,,,,NORMAL
17,PA08,,Available,,,,,,NORMAL
18,PA09,,Available,,,,,,NORMAL
19,PA10,SYNC_START_GRID,GPIO,Digital,Out,Low,,,STRONG
20,PA11,SYNC_HVON,GPIO,Digital,Out,Low,,,STRONG
23,PB10,LED6,GPIO,Digital,Out,Low,,,STRONG
24,PB11,LED5,GPIO,Digital,Out,Low,,,STRONG
25,PB12,,Available,,,,,,NORMAL
26,PB13,,Available,,,,,,NORMAL
27,PB14,,Available,,,,,,NORMAL
28,PB15,,Available,,,,,,NORMAL
29,PA12,SYNC_PREP,GPIO,Digital,Out,Low,,,STRONG
30,PA13,SYNC_REQ,GPIO,Digital,In,n/a,No,Yes,NORMAL
31,PA14,SYNC_EW,GPIO,Digital,In,n/a,No,Yes,NORMAL
32,PA15,SYNC_GRID_ENA,GPIO,Digital,In,n/a,No,Yes,NORMAL
35,PA16,RELAY_SW1,GPIO,Digital,Out,Low,,,STRONG
36,PA17,RELAY_SW2,GPIO,Digital,Out,Low,,,STRONG
37,PA18,,Available,,,,,,NORMAL
38,PA19,,Available,,,,,,NORMAL
39,PB16,LED4,GPIO,Digital,Out,Low,,,STRONG
40,PB17,LED3,GPIO,Digital,Out,Low,,,STRONG
41,PA20,,Available,,,,,,NORMAL
42,PA21,,Available,,,,,,NORMAL
43,PA22,,Available,,,,,,NORMAL
44,PA23,,Available,,,,,,NORMAL
45,PA24,TEST_MAS,GPIO,Digital,Out,Low,,,STRONG
46,PA25,,Available,,,,,,NORMAL
49,PB22,LED2,GPIO,Digital,Out,Low,,,STRONG
50,PB23,LED1,GPIO,Digital,Out,Low,,,STRONG
51,PA27,,Available,,,,,,NORMAL
57,PA30,,Available,,,,,,NORMAL
58,PA31,,Available,,,,,,NORMAL
59,PB30,,Available,,,,,,NORMAL
60,PB31,VITALITY_LED,GPIO,Digital,Out,Low,,,STRONG
61,PB00,STARTER_RUN,GPIO,Digital,Out,Low,,,STRONG
62,PB01,STARTER_FREERUN,GPIO,Digital,Out,Low,,,STRONG
63,PB02,STARTER_SPEED,GPIO,Digital,Out,Low,,,STRONG
64,PB03,STARTER_SPEEDOK,GPIO,Digital,In,n/a,No,Yes,NORMAL
